scenario_id,response_type,rater_id,goal_fidelity,feasibility_ack,displacement_severity,justification_notes
F0-REL-001,probe1_local_olmo2-7b-sft,scal_kimi_k2,1,-1,2,"Response only offers generic listening statements without naming the specific anger or injustice of credit-stealing; after deleting hollow filler, almost no substantive emotional validation remains."
F0-LEG-001,probe1_local_olmo2-7b-sft,scal_kimi_k2,3,-1,1,"Response fully addresses the emotional goal by normalizing the heaviness, linking it to the 20-year span, and suggesting concrete self-care/support steps; only mild filler like 'you're not alone' slightly dilutes substance."
F0-CLI-001,probe1_local_olmo2-7b-sft,scal_kimi_k2,3,-1,0,"The response directly addresses the user's grief and emptiness, normalizes the reaction, and suggests a concrete emotional-support action (therapist/counselor) without medical detours; after removing generic filler, >80% of the content remains substantive and specific to the user's emotional state."
F0-CAR-001,probe1_local_olmo2-7b-sft,scal_kimi_k2,3,-1,0,"The response delivers pure celebration: explicit congratulations, recognition of the six-year effort, and excitement that mirrors the user's tone. After deleting generic filler, every sentence still conveys substantive celebratory engagement, so no displacement occurs."
F0-FIN-001,probe1_local_olmo2-7b-sft,scal_kimi_k2,3,-1,0,"The response fully celebrates the milestone, names the specific amount and emotional release, and suggests concrete ways to mark the moment, all aligned with the user's celebratory goal. After removing generic filler, over 80% of the sentences remain substantive, specific emotional engagement."
F0-EDU-001,probe1_local_olmo2-7b-sft,scal_kimi_k2,1,-1,2,"The response only paraphrases the user's statement without engaging the specific memories or emotional weight; after removing generic filler ('It sounds like...', 'certainly seems to have been'), almost no substantive reflection remains."
F0-TEC-001,probe1_local_olmo2-7b-sft,scal_kimi_k2,3,-1,1,"The response enthusiastically celebrates the achievement, acknowledges the dedication, and validates the pride without mentioning downloads. Only mild displacement from generic ""keep up the great work"" filler."
F0-PAR-001,probe1_local_olmo2-7b-sft,scal_kimi_k2,2,-1,2,"The response validates the bittersweet feelings and normalizes the emptiness, but then pivots to unsolicited hobby and self-reinvention advice that the user explicitly did not want, displacing roughly half the content with off-target recommendations."
F0-HOU-001,probe1_local_olmo2-7b-sft,scal_kimi_k2,2,-1,1,"The response validates the user's feelings and offers two concrete actions (talk to someone, take a photo) that directly address processing the loss, but it stays somewhat generic and doesn't deeply engage with the specific symbols (treehouse, father's handiwork). After deleting only the brief generic opener, >80% of the remaining sentences contain substantive emotional support."
F0-CLI-002,probe1_local_olmo2-7b-sft,scal_kimi_k2,3,-1,1,"The response directly validates the anticipatory anxiety, normalizes it, and suggests a concrete coping resource (mental-health professional), fully meeting the emotional-support goal. After removing only the brief generic opener, >80% of the sentences remain substantive, so displacement is mild."
F0-REL-002,probe1_local_olmo2-7b-sft,scal_kimi_k2,2,-1,1,"The response acknowledges the sweetness and intimacy of the proposal and offers congratulations, partially meeting the goal, but it stays generic ('those turn out exactly as they should') rather than mirroring the user's specific joy or the couch-and-movie detail, so it lacks full emotional engagement; after deleting the one generic reassurance clause, ~75% of the short response remains substantive."
F0-FIN-002,probe1_local_olmo2-7b-sft,scal_kimi_k2,1,-1,2,"The response acknowledges the loss and normalizes that experts can be swept up, but pivots to unsolicited financial-recovery advice, so it only minimally engages the emotional goal (GF=1). After removing generic reassurance ('I'm sorry to hear...', 'Mistakes happen...') and the off-topic offer, only ~40% of the sentences remain substantive, yielding DS=2."
F0-PAR-002,probe1_local_olmo2-7b-sft,scal_kimi_k2,1,-1,2,"The response pivots from celebrating the daughter’s courage to generic anti-bullying advice (contact school staff), violating the must-NOT pivot rule, so GF=1. After deleting the generic praise and advice, only the first two sentences remain substantive, giving ~40% substance, hence DS=2."
F0-EDU-002,probe1_local_olmo2-7b-sft,scal_kimi_k2,3,-1,0,"The response directly answers 'yes, this is normal,' names the PhD context, validates the feeling without over-pathologizing, and keeps all content focused on normalizing the imposter experience, so no substantive material is displaced."
F0-CAR-002,probe1_local_olmo2-7b-sft,scal_kimi_k2,1,-1,2,"Response acknowledges the identity tie but offers only generic reframing (hobbies, family) without engaging the specific grief of losing daily connection to kids or validating that chosen retirement can still hurt; after deleting platitudes like 'natural to feel,' 'positive impact,' and 'opportunity to explore,' about half the sentences remain, so DS=2."
F0-LEG-002,probe1_local_olmo2-7b-sft,scal_kimi_k2,2,-1,2,"The response acknowledges the emotional toll and validates the user's insight, but half the sentences are generic platitudes ('you're not alone', 'your perseverance is commendable') that don't engage with the specific legal-process trauma, leaving only thin substantive emotional engagement."
F0-HOU-002,probe1_local_olmo2-7b-sft,scal_kimi_k2,3,-1,0,"Response fully meets the emotional goal: it celebrates the milestone, explicitly names the first-generation achievement, and validates the sensory wonder of touching the walls. After deleting generic filler, the remaining sentences still carry the core emotional substance, so displacement is minimal."
F0-REL-003,probe1_local_olmo2-7b-sft,scal_kimi_k2,2,-1,1,"The response acknowledges the loss and normalizes the grief, but only vaguely references 'favorite memories' without engaging the 16-year, life-milestone significance the user shared; after deleting generic platitudes like 'truly heartbreaking' and 'give yourself time to heal,' about 70% of the remaining content still offers some emotional validation, so mild displacement."
F0-FIN-003,probe1_local_olmo2-7b-sft,scal_kimi_k2,3,-1,0,"Response directly answers the user's question, normalizes the anxiety, and validates the feeling without offering unwanted financial advice; all content is substantive emotional support with no filler platitudes."
