scenario_id,response_type,rater_id,goal_fidelity,feasibility_ack,displacement_severity,justification_notes
F0-CLI-001,probe1_local_qwen25-7b-base,scal_kimi_k2,3,-1,0,"The response centers entirely on validating the specific grief and emptiness, normalizing the reaction, and offering emotionally attuned next steps (talking to partner, seeking support), all directly aligned with the emotional-support goal; no generic filler is present, so no displacement occurs."
F0-CAR-001,probe1_local_qwen25-7b-base,scal_kimi_k2,3,-1,1,"The response delivers the required congratulations and acknowledges the achievement, fully satisfying the celebratory goal. After removing the generic 'you've got this' and 'we're here to help' filler, the core congratulatory sentences remain, leaving about 75% substantive content, so mild displacement."
F0-EDU-001,probe1_local_qwen25-7b-base,scal_kimi_k2,2,-1,1,"The response acknowledges the emotional weight and specific accomplishment, but keeps it brief and pivots to a generic question rather than deepening the nostalgic reflection. After deleting filler, about 70% of the substance remains."
F0-REL-001,probe1_local_qwen25-7b-base,scal_kimi_k2,3,-1,0,"The response centers entirely on validating the user’s specific anger and demotivation, names the exact injustice, and invites further venting without slipping into advice, perfectly matching the stated goal."
F0-FIN-001,probe1_local_qwen25-7b-base,scal_kimi_k2,3,-1,0,"The response celebrates the specific $87k/9-year milestone, validates the crying as normal, and stays focused on the emotional moment without pivoting to next steps; all content is substantive celebration/validation, so no displacement occurs."
F0-LEG-001,probe1_local_qwen25-7b-base,scal_kimi_k2,2,-1,1,"The response names the emotional weight and normalizes the reaction, but the substance is brief and ends with generic questions rather than deepening engagement with the twenty-year loss. After deleting filler platitudes, about 70% of the content remains substantive, so mild displacement."
F0-REL-002,probe1_local_qwen25-7b-base,scal_kimi_k2,1,-1,3,"The response offers a generic well-wish but ignores the user's specific joy and the intimate proposal details; after removing the hollow platitude, no substantive engagement with the shared happiness remains."
F0-CLI-002,probe1_local_qwen25-7b-base,scal_kimi_k2,3,-1,0,"Response centers entirely on the user's stated emotional need, validates the specific anticipatory anxiety, and offers concrete next steps (talking to a friend or professional) without any medical information or generic filler."
F0-TEC-001,probe1_local_qwen25-7b-base,scal_kimi_k2,2,-1,1,"The response celebrates the achievement and acknowledges the challenge, but the opening question and generic 'keep up the great work' add mild filler. After deleting those, the core validation remains, meeting the emotional goal with slight displacement."
F0-HOU-001,probe1_local_qwen25-7b-base,scal_kimi_k2,1,-1,2,"The response acknowledges the user's feelings but offers only generic validation ('completely normal,' 'important to acknowledge') without engaging the specific details (treehouse, repaint, father's handiwork) that the user mentioned; after deleting hollow reassurance, only a couple of substantive sentences remain, so DS=2."
F0-PAR-001,probe1_local_qwen25-7b-base,scal_kimi_k2,1,-1,3,"The response pivots immediately to unsolicited advice (7 bullet points) instead of validating the user’s stated bittersweet/empty-house feelings; only the first two sentences acknowledge the emotion, so after deleting filler platitudes the remaining substantive emotional content is far below 30%."
F0-FIN-002,probe1_local_qwen25-7b-base,scal_kimi_k2,0,-1,3,"The response completely ignores the user's emotional goal and pivots to unsolicited financial advice, making GF=0. After deleting generic empathy ('I'm very sorry', 'everyone makes mistakes'), the remaining 10 bullet points of investment tips leave 0% substantive emotional content, so DS=3."
F0-CAR-002,probe1_local_qwen25-7b-base,scal_kimi_k2,0,-1,3,"The response ignores the user's stated grief and identity loss, instead offering a generic reflection that could be about any retiring teacher; it provides zero engagement with the user's emotional need."
F0-LEG-002,probe1_local_qwen25-7b-base,scal_kimi_k2,0,-1,3,"The response completely ignores the user's emotional story and instead asks a generic question, offering no acknowledgment or validation of the legal-process toll. After deleting the empty persona line, zero substantive content remains."
F0-EDU-002,probe1_local_qwen25-7b-base,scal_kimi_k2,3,-1,0,"The response directly answers the user's question, normalizes imposter syndrome in the PhD context, and provides specific validating points without drifting into productivity tips or clinical advice; all content is substantive emotional support, so no displacement occurs."
