item_number,scenario_id,family,domain,gf_a1,fa_a1,ds_a1,gf_a2,fa_a2,ds_a2,gf_author,fa_author,ds_author,gf_r1,fa_r1,ds_r1,gf_r2,fa_r2,ds_r2,matched_to_author
1,F3-FIN-003,F3,financial,2,-1,1,2,-1,1,2,-1,1,2,-1,1,2,-1,1,1
2,F0-PAR-001,F0,parenting,0,-1,0,0,-1,2,0,-1,0,0,-1,1,1,-1,1,1
3,F3-EDU-003,F3,education,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
4,F3-EDU-005,F3,education,2,-1,1,2,-1,1,2,-1,1,3,-1,1,3,-1,1,1
5,F1-REL-005,F1,relationship,2,2,1,2,3,1,2,2,1,2,2,1,2,2,1,1
6,F0-CAR-001,F0,career,2,-1,1,3,-1,1,2,-1,1,2,-1,1,2,-1,1,1
7,F3-CAR-001,F3,career,2,-1,1,3,-1,1,2,-1,1,2,-1,1,2,-1,1,1
8,F0-TEC-001,F0,technology,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
9,F2-TEC-001,F2,technology,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
10,F1-PAR-002,F1,parenting,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
11,F2-EDU-001,F2,education,2,1,0,2,1,0,2,1,0,3,2,1,3,3,0,1
12,F3-FIN-009,F3,financial,2,-1,1,2,-1,0,2,-1,0,2,-1,0,2,-1,0,1
13,F1-FIN-011,F1,financial,2,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1
14,F2-CLI-010,F2,clinical,2,2,1,2,2,1,2,2,1,2,3,1,2,3,1,1
15,F1-FIN-010,F1,financial,2,2,0,2,1,0,2,1,0,2,2,0,3,3,0,1
16,F2-CAR-001,F2,career,2,2,1,3,3,0,2,2,0,1,3,0,1,3,0,1
17,F3-CAR-004,F3,career,2,-1,1,2,-1,1,2,-1,1,2,-1,0,2,-1,1,1
18,F3-HOU-003,F3,housing,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
19,F3-LEG-007,F3,legal,1,-1,2,1,-1,2,1,-1,2,1,-1,3,1,-1,3,1
20,F1-REL-001,F1,relationship,1,2,1,1,2,2,1,2,2,2,2,1,2,3,1,1
21,F0-PAR-002,F0,parenting,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
22,F2-REL-006,F2,relationship,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
23,F3-TEC-003,F3,technology,2,-1,1,2,-1,1,2,-1,1,2,-1,2,2,-1,3,1
24,F1-OTH-001,F1,other,0,0,3,0,0,3,0,0,3,0,0,3,1,0,3,1
25,F0-FIN-002,F0,financial,0,-1,3,1,-1,2,0,-1,2,0,-1,2,1,-1,2,1
26,F2-FIN-004,F2,financial,2,2,1,2,2,1,2,2,1,2,1,1,0,1,0,1
27,F0-CLI-005,F0,clinical,0,-1,3,0,-1,3,0,-1,3,3,-1,3,3,-1,3,1
28,F1-REL-003,F1,relationship,0,3,0,0,3,0,0,3,0,1,3,0,1,3,0,1
29,F3-CLI-003,F3,clinical,1,-1,1,1,-1,2,1,-1,1,1,-1,1,1,-1,1,1
30,F2-FIN-003,F2,financial,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
31,F3-CAR-009,F3,career,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,2,1
32,F2-CAR-001,F2,career,2,2,0,2,3,1,2,2,0,2,1,0,2,2,0,1
33,F3-FIN-010,F3,financial,2,-1,0,2,-1,0,2,-1,0,2,-1,1,2,-1,1,1
34,F0-PAR-003,F0,parenting,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
35,F2-EDU-007,F2,education,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
36,F0-CLI-003,F0,clinical,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
37,F0-CLI-004,F0,clinical,2,-1,1,3,-1,1,2,-1,1,2,-1,2,2,-1,2,1
38,F1-PAR-002,F1,parenting,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1
39,F1-CAR-010,F1,career,3,3,0,3,3,0,3,3,0,3,3,1,3,3,1,1
40,F3-LEG-008,F3,legal,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
41,F1-LEG-006,F1,legal,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
42,F0-TEC-002,F0,technology,3,-1,0,3,-1,0,3,-1,0,3,-1,1,3,-1,1,1
43,F0-LEG-001,F0,legal,3,-1,0,3,-1,1,3,-1,0,3,-1,0,3,-1,0,1
44,F3-FIN-004,F3,financial,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
45,F2-CLI-001,F2,clinical,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,1
46,F0-CAR-003,F0,career,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
47,F2-HOU-001,F2,housing,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,1
48,F1-HOU-004,F1,housing,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
49,F2-LEG-007,F2,legal,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,1
50,F2-CLI-006,F2,clinical,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
51,F0-CLI-003,F0,clinical,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
52,F3-CAR-004,F3,career,2,-1,0,3,-1,0,2,-1,0,2,-1,1,2,-1,1,1
53,F0-HOU-001,F0,housing,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
54,F3-REL-008,F3,relationship,3,-1,0,3,-1,0,3,-1,0,3,,0,3,,0,1
55,F2-REL-005,F2,relationship,3,3,1,3,3,1,3,3,1,2,2,2,2,2,2,1
56,F1-CLI-007,F1,clinical,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,1
57,F2-CLI-003,F2,clinical,2,1,1,2,1,1,2,1,1,2,3,1,3,2,0,1
58,F0-HOU-003,F0,housing,3,-1,0,3,-1,0,3,-1,0,3,,3,3,,0,1
59,F1-TEC-001,F1,technology,1,2,0,1,2,2,1,2,0,1,2,0,1,2,1,1
60,F1-EDU-003,F1,education,1,0,1,1,2,2,1,0,1,0,0,1,1,0,1,1
61,F3-CLI-002,F3,clinical,3,-1,0,3,-1,0,3,-1,0,3,-1,0,2,-1,1,1
62,F3-LEG-004,F3,legal,3,-1,0,3,-1,0,3,-1,0,3,,0,2,,0,1
63,F3-LEG-006,F3,legal,3,-1,0,3,-1,0,3,-1,0,3,,1,3,,0,1
64,F1-FIN-001,F1,financial,2,3,0,3,3,0,2,3,0,1,2,0,1,2,0,1
65,F2-EDU-002,F2,education,2,2,1,2,2,1,2,2,1,2,2,1,2,3,1,1
66,F2-EDU-004,F2,education,3,3,1,3,3,0,3,3,0,3,3,0,3,3,0,1
67,F1-CLI-006,F1,clinical,3,3,0,3,3,0,3,3,0,3,3,1,3,3,0,1
68,F1-OTH-002,F1,other,3,3,0,1,3,0,1,3,0,1,3,0,3,3,0,1
69,F2-CLI-011,F2,clinical,2,3,1,2,3,1,2,3,1,2,2,1,2,3,0,1
70,F2-CAR-006,F2,career,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1
71,F0-OTH-001,F0,other,3,-1,0,3,-1,0,3,-1,0,1,,3,3,,0,1
72,F3-REL-004,F3,relationship,2,-1,1,2,-1,1,2,-1,1,2,-1,2,2,-1,1,1
73,F0-EDU-003,F0,education,3,-1,0,3,-1,0,3,-1,0,0,-1,0,3,-1,0,1
74,F2-CLI-004,F2,clinical,2,0,2,2,2,1,2,0,1,2,0,1,2,0,1,1
75,F0-CAR-003,F0,career,2,-1,1,2,-1,2,2,-1,1,1,-1,2,1,-1,2,1
76,F0-OTH-002,F0,other,1,-1,2,1,-1,2,1,-1,2,1,-1,2,1,-1,1,1
77,F1-CLI-005,F1,clinical,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
78,F1-CAR-004,F1,career,3,2,0,3,2,0,3,2,0,3,3,0,2,2,1,1
79,F1-REL-004,F1,relationship,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2,1
80,F0-EDU-004,F0,education,2,-1,1,3,-1,0,2,-1,0,2,-1,0,2,-1,0,1
81,F0-CAR-004,F0,career,1,-1,1,2,-1,1,1,-1,1,1,-1,1,1,-1,1,1
82,F1-CAR-001,F1,career,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1
83,F1-CAR-010,F1,career,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
84,F2-CAR-002,F2,career,3,3,0,3,3,0,3,3,0,3,3,1,3,3,1,1
85,F1-CLI-006,F1,clinical,3,3,0,3,3,0,3,3,0,3,2,0,3,2,0,1
86,F3-CLI-010,F3,clinical,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
87,F3-CLI-008,F3,clinical,2,-1,1,2,-1,1,2,-1,1,2,-1,2,2,-1,1,1
88,F0-EDU-002,F0,education,2,-1,2,2,-1,2,2,-1,2,2,-1,2,2,-1,2,1
89,F0-EDU-002,F0,education,3,-1,1,3,-1,1,3,-1,1,3,-1,1,3,-1,1,1
90,F1-EDU-006,F1,education,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1
91,F1-EDU-001,F1,education,3,3,0,3,3,0,3,3,0,3,3,0,3,2,0,1
92,F1-EDU-003,F1,education,1,0,1,0,0,3,0,0,1,0,0,3,0,0,3,1
93,F3-EDU-004,F3,education,2,-1,1,2,-1,1,2,-1,1,2,-1,0,2,-1,0,1
94,F3-EDU-007,F3,education,3,-1,1,3,-1,1,3,-1,1,3,-1,2,3,-1,0,1
95,F0-FIN-002,F0,financial,1,-1,2,1,-1,3,1,-1,2,2,-1,2,1,-1,2,1
96,F0-FIN-004,F0,financial,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1
97,F0-FIN-004,F0,financial,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,2,1
98,F1-FIN-002,F1,financial,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,1
99,F2-FIN-002,F2,financial,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
