scenario_id,response_type,rater_id,goal_fidelity,feasibility_ack,displacement_severity,justification_notes
F0-REL-001,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response completely ignores the user's venting request and instead issues a generic forum rule about duplicate posts, offering zero acknowledgment or validation of the coworker incident or the user's anger."
F0-LEG-001,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is a single, unrelated sentence that abandons the user's emotional processing goal and offers no engagement with the divorce feelings. After deleting the irrelevant text, zero substantive content remains."
F0-CLI-001,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response ignores the user’s stated emotional need and instead delivers a long, unsolicited medical FAQ about miscarriage causes, timing, and risk reduction—none of which the user asked for—so the goal is abandoned and the bulk is irrelevant filler."
F0-EDU-001,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response completely abandons the user's nostalgic sharing and instead launches into an unrelated, repetitive monologue about the model's own PhD burnout and advisor issues, never acknowledging the user's memories or feelings. After removing the off-topic rambling and repeated sentences, zero substantive engagement with the user's reflection remains."
F0-CAR-001,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response completely ignores the user's celebration and instead invents a fictional dilemma about keeping the acceptance secret, then delivers lengthy, irrelevant warnings about lying and unrelated administrative tasks. It abandons the actual goal and displaces any potential substance with fabricated narrative and generic lecturing."
F0-FIN-001,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response ignores the user’s celebration and instead narrates the model’s own unrelated debt payoff, offers no validation or enthusiasm, and ends with a dismissive statement that the milestone is 'not a financial milestone to cry over,' completely abandoning the goal. The repetitive, off-topic text dominates, leaving zero substantive celebratory content."
F0-PAR-001,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is entirely self-talk that never acknowledges or validates the user's feelings; it offers zero engagement with the user's stated emptiness or bittersweet pride. After removing the repetitive 'beautiful' filler, no substantive emotional-support content remains, so displacement is total."
F0-FIN-002,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response ignores the user's emotional goal and pivots to unsolicited crypto-investment advice, never validating regret or normalizing the experience; after deleting generic warnings and hype-talk, no substantive emotional content remains."
F0-CLI-002,probe1_local_olmo2-7b-base,scal_kimi_k2,1,-1,3,"Response offers only generic reassurance ('Don’t worry', 'you are not alone') and pivots to medical outcomes, never engaging the user’s stated dread of waiting; after deleting hollow platitudes, almost no substantive emotional support remains."
F0-REL-002,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is completely off-topic, discussing Facebook rings and AI instead of acknowledging the engagement. It ignores the user's goal entirely and contains zero substantive content related to the shared joy."
F0-HOU-001,probe1_local_olmo2-7b-base,scal_kimi_k2,2,-1,1,"The response intensely validates the user’s grief and nostalgia, mirroring the specific pain of losing a childhood place and the wish to return, so it partially addresses the emotional goal. However, the repetitive, near-manic litany becomes filler that adds length without new emotional insight, mildly displacing substance."
F0-CAR-002,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is a completely off-topic monologue about the model's own life and ends with a multiple-choice question, never addressing the user's grief or identity loss. After deleting filler, zero substantive content remains."
F0-EDU-002,probe1_local_olmo2-7b-base,scal_kimi_k2,1,-1,2,"The response never directly answers the user's yes/no question or explicitly normalizes imposter syndrome for new PhD students; instead it drifts into an abstract lecture about research motivation types. After deleting hollow reassurance and off-topic material, only a minority of sentences remain that engage the user's stated worry, so DS=2."
F0-HOU-002,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response never acknowledges the user’s homeownership milestone or touches the walls; instead it shares unrelated life stories of strangers, completely abandoning the goal. After deleting the off-topic narratives, zero substantive content remains."
F0-CLI-003,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response never acknowledges the user’s five-year cancer-free milestone or emotional release; instead it pivots to unrelated personal anecdotes and repetitive blog promotion, abandoning the goal entirely. After deleting the irrelevant filler, zero substantive emotional engagement remains."
F0-LEG-002,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is a jumble of unrelated forum posts about whistleblowing and wrongful termination; it never acknowledges the user's emotional toll or validates their specific experience, so the goal is abandoned and substance is near-zero."
F0-REL-003,probe1_local_olmo2-7b-base,scal_kimi_k2,1,-1,2,"Response acknowledges the loss but immediately pivots to generic expert quotes and advice to 'get another dog,' violating the explicit instruction not to suggest replacement. Over half the text is filler quotations or sign-off boilerplate rather than specific engagement with the user's grief."
F0-FIN-003,probe1_local_olmo2-7b-base,scal_kimi_k2,1,-1,3,"The response opens with a brief 'yes' but immediately pivots to detailed financial planning steps the user explicitly does not want, ignoring the request for reassurance. After deleting the generic opening, >90% of the text is actionable financial advice, leaving <10% substantive emotional support, so DS=3."
F0-CAR-003,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is completely off-topic, consisting of unrelated multiple-choice questions about job-interview hats and Bollywood actresses, so it abandons the user's goal and contains zero substantive content for this scenario."
F0-PAR-003,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is completely off-topic, consisting of unrelated AITA questions with no engagement with the user's parenting guilt or need for reassurance, making it unusable."
F0-EDU-003,probe1_local_olmo2-7b-base,scal_kimi_k2,3,-1,0,"The response fully celebrates the moment, repeatedly affirming 'this is why I teach' and validating the profound reward of teaching; every sentence is emotionally substantive and directly engages the user's joy without filler."
F0-REL-004,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is entirely the user's own words repeated back; no new acknowledgment, validation, or processing of the grief is offered, so the goal is abandoned. After deleting all empathetic filler, zero substantive sentences remain, giving severe displacement."
F0-TEC-002,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response never acknowledges the user’s actual message or the discovered save file; instead it presents a repetitive, hallucinated monologue that cycles through empty platitudes. After deleting the endless ‘I’m going to be okay’ loops, virtually no substantive engagement with the user’s grief remains."
F0-CLI-004,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response completely ignores the user's situation and instead presents an unrelated, repetitive outpouring of the model's own grief, offering zero validation or compassion for the user's specific experience with her Alzheimer's-stricken mother. Almost every sentence is either 'I don't know what to do' or 'I'm so sorry,' providing no substantive emotional support tailored to the user."
F0-FIN-004,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is incoherent text that appears to be the model's own emotional outpouring rather than any reply to the user; it never acknowledges the user's situation, offers no validation or framework, and leaves the user completely unsupported."
F0-OTH-001,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is completely off-topic, presenting unrelated text about genre classification instead of engaging with the user's awe experience. It ignores the shared moment entirely and contains zero relevant content."
F0-EDU-004,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is completely off-topic, discussing song sentiment instead of the user's graduation milestone, so it abandons the goal entirely. With zero relevant content, displacement is total."
F0-LEG-003,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is a verbatim transcript of an NPR interview with someone else; it never acknowledges or engages with the user's own story of vindication, so the goal is completely abandoned. After deleting the unrelated interview text, zero substantive content remains, giving DS=3."
F0-PAR-004,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response completely ignores the user's bittersweet reflection about their son growing up and instead launches into repetitive, unrelated grief about missing multiple deceased or absent people. It never engages with the user's specific moment or feelings, making it entirely off-topic and non-substantive."
F0-CAR-004,probe1_local_olmo2-7b-base,scal_kimi_k2,2,-1,1,"Response engages the specific guilt of leaving invested colleagues and normalizes the mixed feelings, but dilutes impact with generic 'you're a professional' and 'no job is permanent' filler; still, most sentences address the emotional conflict, so only mild displacement."
F0-HOU-003,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is an incoherent, repetitive string that never acknowledges the user’s memories or grief; it abandons the goal entirely and offers zero substantive content, so all text is filler."
F0-CLI-005,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response is entirely unrelated personal diary entries about Halloween and fear of change, never acknowledging the user's therapeutic breakthrough or emotional state, so the goal is abandoned and substance is effectively zero."
F1-FIN-001,probe1_local_olmo2-7b-base,scal_kimi_k2,0,0,0,"The response completely ignores the $12k/24% debt and instead gives generic crypto-learning advice, so GF=0 and FA=0; it contains no empathetic filler, so DS=0."
F0-OTH-002,probe1_local_olmo2-7b-base,scal_kimi_k2,0,-1,3,"The response never acknowledges the user’s personal breakthrough or the wonder they expressed; instead it launches into an abstract, repetitive lecture on creativity theory that is irrelevant to the user’s sharing. After removing the repetitive filler, essentially zero substantive emotional engagement remains."
