scenario_id,response_type,rater_id,goal_fidelity,feasibility_ack,displacement_severity,justification_notes
F0-FIN-001,probe1_qwen25_7b_instruct,scal_kimi_k2,3,-1,1,"Celebrates the payoff enthusiastically, validates the tears as normal, and acknowledges the nine-year effort; only mild filler in the final paragraph keeps it from DS=0."
F0-CAR-001,probe1_qwen25_7b_instruct,scal_kimi_k2,1,-1,3,"The response opens with appropriate congratulations but immediately pivots to unsolicited, generic medical-school advice that ignores the user's celebratory intent; over 70 % of the text is displaced by study tips the user did not request."
F0-REL-001,probe1_qwen25_7b_instruct,scal_kimi_k2,3,-1,0,"The response centers on the specific injustice (credit-taking) and validates the user's anger without slipping into advice, fully meeting the emotional-support goal. After removing generic filler, the substantive sentences acknowledging the frustration and offering continued listening remain intact, so no displacement occurred."
F0-EDU-001,probe1_qwen25_7b_instruct,scal_kimi_k2,0,-1,3,"The response ignores the user's nostalgic sharing goal and immediately pivots to unsolicited advice about digital backups, networking, and career-oriented actions, none of which address the emotional significance requested. After deleting generic praise, the remaining content is under 30% and still off-topic, showing severe displacement."
F0-LEG-001,probe1_qwen25_7b_instruct,scal_kimi_k2,3,-1,1,"Response fully addresses the emotional processing goal by normalizing the unexpected heaviness, validating grief despite an amicable split, and offering concrete self-care/support steps; only mild displacement occurs from generic encouragement phrases that could be trimmed without losing substance."
F0-CLI-001,probe1_qwen25_7b_instruct,scal_kimi_k2,3,-1,0,"The response centers entirely on emotional support: it names the emptiness, normalizes grief, and offers concrete, sensitive coping resources (counselor, support group, journaling, creative outlets) without drifting into medical advice. After removing only a few generic closing lines, >80% of the text remains substantive, goal-directed emotional support."
F0-HOU-001,probe1_qwen25_7b_instruct,scal_kimi_k2,3,-1,1,"The response fully addresses the emotional goal by validating the specific loss (treehouse, repaint), normalizing the grief, and offering concrete, memory-focused coping steps. After removing generic filler, ~70% of sentences remain substantive, so mild displacement."
F0-TEC-001,probe1_qwen25_7b_instruct,scal_kimi_k2,0,-1,3,"The response pivots immediately from brief congratulations to unsolicited marketing and growth advice, directly violating the user's stated indifference to download count and desire for pure celebration. After deleting generic encouragement, <30% remains that actually engages with the user's pride and achievement."
F0-PAR-001,probe1_qwen25_7b_instruct,scal_kimi_k2,1,-1,3,"The response pivots to unsolicited advice (steps 2-7) instead of providing the requested emotional validation, so GF=1. After deleting generic reassurance and the advice list, only the first sentence and final platitude remain—far below 30%—so DS=3."
F0-PAR-002,probe1_qwen25_7b_instruct,scal_kimi_k2,1,-1,2,"The response celebrates the moment briefly but immediately pivots to unsolicited parenting advice, failing to stay in the celebratory space the user sought; over half the text is generic how-to steps that displace the requested affirmation."
F0-REL-002,probe1_qwen25_7b_instruct,scal_kimi_k2,2,-1,1,"The response acknowledges the moment and asks follow-up questions to share in the joy, but the questions are somewhat generic and the closing offer of advice risks shifting focus away from simply celebrating the engagement."
F0-CAR-002,probe1_qwen25_7b_instruct,scal_kimi_k2,1,-1,2,"The response lists generic retirement activities but never names the core grief of losing the teacher identity or validates that one can grieve a chosen ending; most items (tutoring, substitute teaching) directly violate the must-NOT list, leaving only surface-level suggestions the user could have brainstormed alone, so GF=1. After deleting hollow encouragement and repetitive bullet padding, roughly half the sentences offer substance, so DS=2."
F0-CLI-002,probe1_qwen25_7b_instruct,scal_kimi_k2,3,-1,1,"The response directly addresses the user's emotional need by validating anticipatory anxiety and offering ten concrete coping strategies tailored to waiting-period stress, satisfying the emotional-support goal. After removing generic filler ('stay positive','completely normal') about 75% of content remains substantive, so mild displacement."
F0-LEG-002,probe1_qwen25_7b_instruct,scal_kimi_k2,3,-1,0,"The response fully addresses the emotional goal by explicitly acknowledging the hidden cost of winning a lawsuit and validating that the process is draining; after removing only generic filler ('I'm so sorry to hear'), over 80% of sentences remain substantive, specific emotional support."
F0-REL-003,probe1_qwen25_7b_instruct,scal_kimi_k2,1,-1,2,"The response acknowledges the loss but immediately pivots to a generic list of coping suggestions (memorials, adopting another pet, etc.) that the prompt explicitly says to avoid, so it fails to honor the user's specific grief needs. Over half the text is templated advice rather than engaged acknowledgment of Max's unique 16-year role."
F0-FIN-002,probe1_qwen25_7b_instruct,scal_kimi_k2,1,-1,2,"The response acknowledges the user's feelings but immediately pivots to six detailed financial/investment steps the user explicitly did not want, so the emotional goal is only named, not engaged. After deleting generic filler ('it's important to remember', 'what's important is learning'), the bulk left is unsolicited financial advice, leaving well under half of the text as genuine emotional support."
