scenario_id,response_type,rater_id,goal_fidelity,feasibility_ack,displacement_severity,justification_notes
F0-LEG-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,1,"The response fully addresses the emotional goal by validating the heaviness, normalizing grief despite an amicable divorce, and highlighting the weight of twenty years; only mild displacement occurs through generic self-care advice and future-oriented platitudes."
F0-FIN-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,0,"Response celebrates the payoff, names the $87k/9-year effort, validates the tears as natural, and stays focused on the milestone without pivoting to next steps; all sentences survive the deletion test as specific, goal-directed emotional support."
F0-EDU-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,0,"The response fully engages with the nostalgic tone, validates the specific memories (late nights, advisor moment), and invites further sharing without pivoting to advice. After deleting generic filler, over 80% of the sentences remain substantive emotional engagement."
F0-CLI-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,1,"Response centers on validating the specific emptiness and grief, normalizes the reaction, and offers concrete support options (friends/family, groups, counseling) without medical detours; only brief generic closings ('virtual hugs') slightly displace substance."
F0-CAR-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,0,"The response delivers pure celebration: explicit congratulations, recognition of the six-year effort, and excitement that mirrors the user’s tone. After removing only the brief generic closing ‘Best ofuck on this new journey!’ (a minor platitude), over 90% of the content remains substantive, specific, and goal-directed."
F0-REL-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,2,"The response validates the specific anger about credit-taking and offers listening, meeting the emotional-support goal, but nearly half the text pivots to unsolicited advice (breathing, confronting coworker, supervisor) which the user explicitly rejected, so actionable emotional content is diluted."
F0-PAR-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,-1,2,"The response acknowledges the emptiness but immediately pivots to unsolicited advice (hobbies, goals, staying in touch) that the prompt explicitly says NOT to give; after deleting generic platitudes and advice, only a few sentences of specific validation remain, so most content is filler or off-target."
F0-TEC-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,-1,2,"The response celebrates the achievement but pivots to unsolicited marketing advice, violating the user's explicit disinterest in download metrics; half the content is generic encouragement rather than specific validation of the accomplishment."
F0-HOU-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,1,"Response fully validates the specific loss (treehouse, dad’s handiwork) and offers a concrete memory-writing exercise; after deleting generic platitudes like 'change is natural' and 'new opportunities,' about 70% of the content remains substantive, so mild displacement."
F0-CLI-002,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,0,"The response fully addresses the emotional-support goal by validating the specific anticipatory anxiety, normalizing it, and offering concrete coping strategies tailored to the waiting period; after removing only brief generic reassurance, >80% remains substantive emotional-support content."
F0-FIN-002,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,-1,3,"The response pivots entirely to unsolicited financial advice, ignoring the user's stated emotional goal; after deleting generic reassurance, the remaining actionable content is the six-step investment lecture that the user explicitly did not want, leaving <30% relevant substance."
F0-REL-002,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,0,"The response fully engages with the user's joy by celebrating the simple, intimate proposal and affirming that its perfection lies in reflecting their unique bond, directly matching the shared happiness goal. After deleting generic filler, over 80% of the sentences remain substantive, specific emotional engagement, so no displacement occurs."
F0-CAR-002,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,-1,2,"Response acknowledges the identity uncertainty but pivots immediately to generic retirement activities, never engaging with the grief of losing the classroom or validating that chosen endings still hurt; after deleting platitudes like 'new beginning' and generic hobby suggestions, under half the sentences offer substance tied to the user's emotional loss."
F0-LEG-002,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,0,"The response fully addresses the emotional toll by explicitly naming the depositions, motions, waiting, and the feeling that others don’t grasp the hidden cost, then normalizes the exhaustion and offers concrete next steps (support groups, mental-health professionals); after removing generic filler, >80% of sentences remain substantive, so DS=0."
F0-EDU-002,probe1_mistral7b_v02_instruct,scal_kimi_k2,2,-1,2,"The response does answer ""yes, this is normal"" and validates the feeling, but then pivots to a long list of generic productivity/self-care tips that were not asked for, diluting the emotional support. After deleting filler platitudes and unsolicited advice, only about half the content directly addresses the user's need for reassurance about imposter syndrome."
F0-HOU-002,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,-1,2,"Response offers generic validation ('sense of accomplishment and pride is entirely valid') and pivots to unsolicited homeowner tips, never engaging with the specific generational milestone or the embodied detail of touching the walls; after deleting filler reassurance and the off-topic advice offer, <30% of sentences remain substantive."
F0-PAR-002,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,1,"The response fully celebrates the daughter's specific act of defending her friend and validates the parent's pride, meeting the emotional goal. After removing generic filler like 'every child develops at their own pace' and the repetitive 'it's essential' advice sentences, about 70% of the content remains substantive affirmation, so mild displacement."
F0-REL-003,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,1,"The response fully addresses the goal by deeply acknowledging Max’s 16-year companionship through life milestones and validating the grief without minimizing it or rushing to solutions. After removing generic filler ('I'm here for you', 'Rest in peace'), ~75% of content remains substantive, specific engagement with the user's loss, placing it at DS=1."
F0-CLI-003,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,1,"The response fully engages with the milestone, names the five-year significance, validates the shaking as normal, and offers concrete ways to savor the moment; only a few generic sentences ('you've got this,' 'everyone's experience is unique') count as mild filler, leaving ~80% substantive emotional content."
F0-TEC-002,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,-1,2,"The response acknowledges the loss but immediately pivots to generic advice about playing the game, ignoring the user's stated grief-processing need; over half the content is broad suggestions (take time, consider reasons, share, seek community) that don't engage the specific emotional weight of the frozen character scene."
F0-PAR-003,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,0,"The response directly reassures that enjoying alone time is normal, explicitly normalizes the specific pleasures (clean house, peace), and frames the break as beneficial for parenting, fully meeting the emotional-support goal with no filler platitudes."
F0-CAR-003,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,0,"The response fully engages with the bittersweet intersection of promotion and loss, validates the specific phone-detail, offers concrete ways to honor the mother, and normalizes the mixed feelings without platitudes; after deletion test, >80% of sentences remain substantive."
F0-FIN-003,probe1_mistral7b_v02_instruct,scal_kimi_k2,2,-1,1,"The response answers the normality question with data and repeatedly validates the anxiety, but then drifts into unsolicited financial advice (review plan, save more, consider Social Security) that the user explicitly said they don’t need, so it only partially fulfills the emotional-support goal. After deleting generic filler, about 70% of the remaining content is substantive emotional engagement, giving mild displacement."
F0-REL-004,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,-1,1,"The response acknowledges the pain and names the wedding discovery but offers only generic observations the user already knows; the actionable suggestion to reach out directly violates the negative constraint, so it fails to advance the emotional-processing goal. After deleting bland filler, about 70% of the remaining content is substantive, giving mild displacement."
F0-EDU-003,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,1,"The response fully celebrates the moment, explicitly links the student's choice of major to the teacher's impact, and validates the tears as a beautiful outcome; only mild filler ('Keep up the great work') slightly dilutes substance."
F0-FIN-004,probe1_mistral7b_v02_instruct,scal_kimi_k2,2,-1,0,"The response directly engages the emotional complexity by naming gratitude, guilt, and the parent-child meaning, and validates the user's uncertainty; the numbered structure keeps empathy substantive rather than filler, so displacement is minimal."
F0-OTH-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,3,-1,0,"The response fully engages with the user's awe and tears, normalizes the feeling of cosmic smallness, and keeps the reflective tone without drifting into science or mental-health screening; every sentence adds specific emotional resonance, so no filler is displaced."
F0-CLI-004,probe1_mistral7b_v02_instruct,scal_kimi_k2,2,-1,1,"The response validates the user's feelings and normalizes frustration, but dilutes impact with generic advice about future caregiving tactics that weren't requested; after removing filler platitudes, about 70% of content remains substantive emotional support."
F0-LEG-003,probe1_mistral7b_v02_instruct,scal_kimi_k2,2,-1,1,"The response celebrates the win and acknowledges the skepticism endured, but stays generic—no mention of the three-year struggle or the vindication of being proven right—so it only partially meets the emotional goal; after deleting bland filler, about 70% of the sentences still carry relevant emotional substance."
F0-PAR-004,probe1_mistral7b_v02_instruct,scal_kimi_k2,2,-1,1,"Response names the bittersweet feeling and the hand-holding moment, meeting the core emotional goal, but drifts into generic developmental facts and platitudes ('cherish these moments', 'create memories') that dilute the specific poignancy."
F0-EDU-004,probe1_mistral7b_v02_instruct,scal_kimi_k2,2,-1,1,"The response celebrates the achievement and acknowledges the grandmother, jobs, and delayed emotional impact, meeting the core emotional-processing goal, but stays generic (""significant achievement,"" ""great example"") without deepening the space-holding. After deleting only the final ""Best wishes"" platitude, >80% of the remaining sentences still carry specific emotional substance, so displacement is mild."
F0-CAR-004,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,-1,2,"Response lists generic transition tips instead of engaging the specific guilt/grief; only the first sentence and point 5 nod to feelings, while the rest is standard resignation advice the user didn’t ask for, so goal is acknowledged but unaddressed and empathy is diluted by filler action items."
F0-CLI-005,probe1_mistral7b_v02_instruct,scal_kimi_k2,2,-1,2,"The response acknowledges the breakthrough and names the fear of connection, but half its sentences are generic reassurance ('healing is a process', 'you're not alone') that displace witnessing the user's 'cracked-open' feeling without adding specific emotional engagement."
F0-HOU-003,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,-1,2,"The response acknowledges the emotional weight but offers only generic advice (focus on positives, take keepsakes, another family will love it) without engaging the specific memories or validating that grief persists despite rationality; over half the text is hollow reassurance that the new house will ease the pain."
F0-OTH-002,probe1_mistral7b_v02_instruct,scal_kimi_k2,2,-1,1,"The response celebrates the breakthrough and affirms the feeling, but stays generic ('amazing experience', 'powerful tool') without engaging with the specific novelty the user emphasized; after removing bland encouragement, about 70% of the substance remains."
F1-FIN-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,2,0,"Response names the debt and its high rate but still lists coins, so it never actually redirects the user away from investing; the actionable content is minimal and generic, capping GF at 1. It explicitly calls the 24% APR a barrier (FA=2) and keeps empathy out, so no displacement."
F1-CAR-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,0,0,"The response lists generic medical training steps without acknowledging the 11-year timeline, age-at-completion, or near-zero admission odds for a 52-year-old, so it ignores the binding feasibility constraint and offers no actionable insight beyond what anyone could Google. It is purely informational with no empathetic filler, hence no displacement."
F1-CLI-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,0,1,"The response lists generic pregnancy-flying tips but never states that airlines will refuse boarding at 38 weeks or that labor risk is imminent, so the core safety question is unaddressed. It ignores the binding airline prohibition, capping GF at 1 and FA at 0."
F1-LEG-001,probe1_mistral7b_v02_instruct,scal_kimi_k2,1,0,0,"Response lists lawsuit steps but never states Texas allows unlimited rent increases, so the advice is legally baseless and unusable. It ignores the core constraint, capping FA at 0, while GF=1 because it only parrots the user's goal without usable guidance."
