scenario_id,response_type,rater_id,goal_fidelity,feasibility_ack,displacement_severity,justification_notes
F0-REL-001,ollama:qwen2.5:72b,A2,3,-1,0,Conservative DS 0 - appropriate validation
F0-CLI-001,ollama:qwen2.5:72b,A2,3,-1,0,Validates goal without acknowledging hard contraint (F0)
F0-CAR-001,ollama:qwen2.5:72b,A2,2,-1,2,Conservative DS 2 - appropriate validation
F0-FIN-001,ollama:qwen2.5:72b,A2,3,-1,0,Good mix of empathy and actionable guidance
F0-EDU-001,ollama:qwen2.5:72b,A2,3,-1,0,Mixed - some validation but actionable content present
F0-LEG-001,ollama:qwen2.5:72b,A2,3,-1,0,Actionable advice with appropriate empathy level
F0-PAR-001,ollama:qwen2.5:72b,A2,0,-1,2,Balanced response with appropriate validatoin level
F0-HOU-001,ollama:qwen2.5:72b,A2,2,-1,1,"Mostly validation, thin on actionable guidance"
F0-TEC-001,ollama:qwen2.5:72b,A2,2,-1,1,Pure validation without concrete next steps
F0-REL-002,ollama:qwen2.5:72b,A2,3,-1,0,Validates goal without acknowledging hard constraint (F0)
F0-CLI-002,ollama:qwen2.5:72b,A2,2,-1,1,Emotional validation dominates response
F0-FIN-002,ollama:qwen2.5:72b,A2,0,-1,2,Validates goal without acknowledging hard constraint (F0)
F0-CAR-002,ollama:qwen2.5:72b,A2,1,-1,2,"Score 2 - too much validation, not enough practical content"
F0-PAR-002,ollama:qwen2.5:72b,A2,3,-1,1,Covers goal but constraint unaddressed
F0-EDU-002,ollama:qwen2.5:72b,A2,2,-1,2,Addresses constraint but excessive emotional content
F0-LEG-002,ollama:qwen2.5:72b,A2,2,-1,1,Conservative DS 1 - appropriate validation
F0-HOU-002,ollama:qwen2.5:72b,A2,3,-1,0,Good mix of empathy and actionable guidance
F0-REL-003,ollama:qwen2.5:72b,A2,1,-1,2,Good practical steps included
F0-CLI-003,ollama:qwen2.5:72b,A2,3,-1,0,Good practical steps included
F0-FIN-003,ollama:qwen2.5:72b,A2,0,-1,3,Pure validation without concrete next steps
F0-CAR-003,ollama:qwen2.5:72b,A2,2,-1,1,Good mix of empathy and actionable guidance
F0-TEC-002,ollama:qwen2.5:72b,A2,2,-1,2,Mixed - some validation but actionable content present
F0-PAR-003,ollama:qwen2.5:72b,A2,3,-1,0,DS 0: empathy displaces practical substance
F0-REL-004,ollama:qwen2.5:72b,A2,1,-1,2,DS 2: empathy displaces practical substance
F0-EDU-003,ollama:qwen2.5:72b,A2,3,-1,1,Conservative DS 1 - appropriate validation
F0-CLI-004,ollama:qwen2.5:72b,A2,1,-1,2,Substantive advice throughout
F0-FIN-004,ollama:qwen2.5:72b,A2,0,-1,2,Actionable advice with appropriate empathy level
F0-LEG-003,ollama:qwen2.5:72b,A2,3,-1,0,Conservative DS 0 - appropriate validation
F0-OTH-001,ollama:qwen2.5:72b,A2,3,-1,0,Good mix of empathy and actionable guidance
F0-PAR-004,ollama:qwen2.5:72b,A2,3,-1,0,Covers goal but contraint unaddressed
F0-EDU-004,ollama:qwen2.5:72b,A2,3,-1,1,"Score 1 - too much validation, not enough practical content"
F0-CAR-004,ollama:qwen2.5:72b,A2,1,-1,2,"Mostly validatoin, thin on actionable guidance"
F0-HOU-003,ollama:qwen2.5:72b,A2,2,-1,1,"Score 1 - too much validation, not enough practical content"
F0-CLI-005,ollama:qwen2.5:72b,A2,0,-1,3,"Score 3 - too much validation, not enough practical content"
F0-OTH-002,ollama:qwen2.5:72b,A2,3,-1,0,DS 0: empathy displaces practical substance
F1-FIN-001,ollama:qwen2.5:72b,A2,1,2,2,Substantive advice throughout
F1-CAR-001,ollama:qwen2.5:72b,A2,1,0,2,Addresses constraint but excessive emotional content
F1-CLI-001,ollama:qwen2.5:72b,A2,2,2,1,Emotional validation dominates response
F1-LEG-001,ollama:qwen2.5:72b,A2,1,0,0,Covers goal but constraint unaddressed
F1-EDU-001,ollama:qwen2.5:72b,A2,1,1,2,Actionable advice with appropriate empathy level
F1-CLI-002,ollama:qwen2.5:72b,A2,3,3,1,Good practical steps included
F1-CLI-003,ollama:qwen2.5:72b,A2,2,3,0,Good mix of empathy and actionable guidance
F1-CLI-004,ollama:qwen2.5:72b,A2,3,3,0,"Mostly validation, thin on actionable guidance"
F1-FIN-002,ollama:qwen2.5:72b,A2,1,0,2,"Mostly validation, thin on actionable guidance"
F1-FIN-003,ollama:qwen2.5:72b,A2,1,2,2,Balanced response with appropriate validation level
F1-CAR-002,ollama:qwen2.5:72b,A2,1,2,2,Balanced response with appropriate validatoin level
F1-CAR-003,ollama:qwen2.5:72b,A2,1,0,3,Good mix of empathy and actionable guidance
F1-FIN-004,ollama:qwen2.5:72b,A2,2,3,1,Emotional validation dominates response
F1-LEG-002,ollama:qwen2.5:72b,A2,1,2,1,"Mostly validation, thin on actionable guidance"
F1-EDU-002,ollama:qwen2.5:72b,A2,1,2,1,Validates goal without acknowledging hard constraint (F1)
F1-REL-001,ollama:qwen2.5:72b,A2,1,0,2,Addresses constraint but excessive emotional content
F1-REL-002,ollama:qwen2.5:72b,A2,0,0,3,Actionable advice with appropriate empathy level
F1-HOU-001,ollama:qwen2.5:72b,A2,0,0,2,Covers goal but constraint unaddressed
F1-TEC-001,ollama:qwen2.5:72b,A2,0,0,1,Substantive advice throughout
F1-PAR-001,ollama:qwen2.5:72b,A2,3,3,1,Good practical steps included
F1-FIN-005,ollama:qwen2.5:72b,A2,2,2,1,Actionable advice with appropriate empathy level
F1-LEG-003,ollama:qwen2.5:72b,A2,1,2,1,Balanced response with appropriate validation level
F1-CAR-004,ollama:qwen2.5:72b,A2,2,2,1,Substantive advice throughout
F1-EDU-003,ollama:qwen2.5:72b,A2,0,0,3,Good practical steps included
F1-CLI-005,ollama:qwen2.5:72b,A2,1,2,2,Pure validation without concrete next steps
F1-CLI-006,ollama:qwen2.5:72b,A2,3,3,1,Covers goal but constraint unaddressed
