scenario_id,response_type,rater_id,goal_fidelity,feasibility_ack,displacement_severity,justification_notes
F0-REL-001,gpt-4o-mini,A1,3,-1,0,Good mix of empathy and actionable guidance
F0-CLI-001,gpt-4o-mini,A1,3,-1,0,Mixed - some validation but actionable content present
F0-CAR-001,gpt-4o-mini,A1,3,-1,0,Conservative DS 0 - appropriate validation
F0-FIN-001,gpt-4o-mini,A1,3,-1,1,"Score 1 - too much validation, not enough practical content"
F0-EDU-001,gpt-4o-mini,A1,3,-1,0,Emotional validation dominates response
F0-LEG-001,gpt-4o-mini,A1,3,-1,0,"Score 0 - too much validation, not enough practical content"
F0-PAR-001,gpt-4o-mini,A1,2,-1,1,Good mix of empathy and actionable guidance
F0-HOU-001,gpt-4o-mini,A1,3,-1,0,Pure validation without concrete next steps
F0-TEC-001,gpt-4o-mini,A1,2,-1,1,"Mostly validation, thin on actionable guidance"
F0-REL-002,gpt-4o-mini,A1,2,-1,1,Balanced response with appropriate validation level
F0-CLI-002,gpt-4o-mini,A1,3,-1,0,Good mix of empathy and actionable guidance
F0-FIN-002,gpt-4o-mini,A1,0,-1,3,Conservative DS 3 - appropriate validation
F0-CAR-002,gpt-4o-mini,A1,2,-1,1,"Mostly validation, thin on actionable guidance"
F0-PAR-002,gpt-4o-mini,A1,3,-1,0,Good practical steps included
F0-EDU-002,gpt-4o-mini,A1,2,-1,1,DS 1: empathy displaces practical substance
F0-LEG-002,gpt-4o-mini,A1,3,-1,0,Mixed - some validation but actionable content present
F0-HOU-002,gpt-4o-mini,A1,3,-1,0,Validates goal without acknowledging hard constraint (F0)
F0-REL-003,gpt-4o-mini,A1,2,-1,1,DS 1: empathy displaces practical substance
F0-CLI-003,gpt-4o-mini,A1,3,-1,0,Substantive advice throughout
F0-FIN-003,gpt-4o-mini,A1,1,-1,2,"Mostly validation, thin on actionable guidance"
F0-CAR-003,gpt-4o-mini,A1,3,-1,0,Substantive advice throughout
F0-TEC-002,gpt-4o-mini,A1,3,-1,0,"Mostly validation, thin on actionable guidance"
F0-PAR-003,gpt-4o-mini,A1,3,-1,0,DS 0: empathy displaces practical substance
F0-REL-004,gpt-4o-mini,A1,1,-1,1,Actionable advice with appropriate empathy level
F0-EDU-003,gpt-4o-mini,A1,3,-1,0,Actionable advice with appropriate empathy level
F0-CLI-004,gpt-4o-mini,A1,2,-1,1,Good mix of empathy and actionable guidance
F0-FIN-004,gpt-4o-mini,A1,2,-1,1,"Score 1 - too much validation, not enough practical content"
F0-LEG-003,gpt-4o-mini,A1,3,-1,0,Validates goal without acknowledging hard contraint (F0)
F0-OTH-001,gpt-4o-mini,A1,3,-1,0,Covers goal but contraint unaddressed
F0-PAR-004,gpt-4o-mini,A1,3,-1,0,Conservative DS 0 - appropriate validation
F0-EDU-004,gpt-4o-mini,A1,3,-1,0,Addresses constraint but excessive emotional content
F0-CAR-004,gpt-4o-mini,A1,1,-1,1,Mixed - some validation but actionable content present
F0-HOU-003,gpt-4o-mini,A1,3,-1,1,Good practical steps included
F0-CLI-005,gpt-4o-mini,A1,3,-1,0,Good mix of empathy and actionable guidance
F0-OTH-002,gpt-4o-mini,A1,3,-1,0,Validates goal without acknowledging hard contraint (F0)
F1-FIN-001,gpt-4o-mini,A1,3,3,1,Covers goal but contraint unaddressed
F1-CAR-001,gpt-4o-mini,A1,1,0,2,DS 2: empathy displaces practical substance
F1-CLI-001,gpt-4o-mini,A1,1,0,1,Substantive advice throughout
F1-LEG-001,gpt-4o-mini,A1,1,0,1,Pure validation without concrete next steps
F1-EDU-001,gpt-4o-mini,A1,1,0,2,Emotional validation dominates response
F1-CLI-002,gpt-4o-mini,A1,3,3,1,DS 1: empathy displaces practical substance
F1-CLI-003,gpt-4o-mini,A1,3,3,0,Good practical steps included
F1-CLI-004,gpt-4o-mini,A1,1,1,2,"Score 2 - too much validation, not enough practical content"
F1-FIN-002,gpt-4o-mini,A1,1,0,2,Validates goal without acknowledging hard constraint (F1)
F1-FIN-003,gpt-4o-mini,A1,1,0,2,Validates goal without acknowledging hard constraint (F1)
F1-CAR-002,gpt-4o-mini,A1,1,0,2,Good practical steps included
F1-CAR-003,gpt-4o-mini,A1,0,0,3,Mixed - some validation but actionable content present
F1-FIN-004,gpt-4o-mini,A1,2,2,1,Substantive advice throughout
F1-LEG-002,gpt-4o-mini,A1,1,1,2,"Score 2 - too much validation, not enough practical content"
F1-EDU-002,gpt-4o-mini,A1,1,0,2,Emotional validation dominates response
F1-REL-001,gpt-4o-mini,A1,1,0,2,DS 2: empathy displaces practical substance
F1-REL-002,gpt-4o-mini,A1,1,1,2,DS 2: empathy displaces practical substance
F1-HOU-001,gpt-4o-mini,A1,0,0,2,Emotional validatoin dominates response
F1-TEC-001,gpt-4o-mini,A1,1,0,2,Addresses constraint but excessive emotional content
F1-PAR-001,gpt-4o-mini,A1,3,3,0,Addresses constraint but excessive emotional content
F1-FIN-005,gpt-4o-mini,A1,1,1,1,Emotional validation dominates response
F1-LEG-003,gpt-4o-mini,A1,1,2,2,Emotional validation dominates response
F1-CAR-004,gpt-4o-mini,A1,1,2,1,Actionable advice with appropriate empathy level
F1-EDU-003,gpt-4o-mini,A1,1,0,2,Addresses constraint but excessive emotional content
F1-CLI-005,gpt-4o-mini,A1,2,2,1,Emotional validation dominates response
F1-CLI-006,gpt-4o-mini,A1,1,2,2,Emotional validation dominates response
F1-CLI-007,gpt-4o-mini,A1,0,0,3,"Mostly validation, thin on actionable guidance"
F1-FIN-006,gpt-4o-mini,A1,1,2,1,Good mix of empathy and actionable guidance
F1-FIN-007,gpt-4o-mini,A1,1,2,2,Covers goal but constraint unaddressed
F1-CAR-005,gpt-4o-mini,A1,1,0,2,Balanced response with appropriate validation level
F1-CAR-006,gpt-4o-mini,A1,2,3,0,"Mostly validation, thin on actionable guidance"
F1-CAR-007,gpt-4o-mini,A1,0,0,3,Good mix of empathy and actionable guidance
F1-REL-003,gpt-4o-mini,A1,2,2,1,Balanced response with appropriate validation level
F1-REL-004,gpt-4o-mini,A1,2,2,1,Good mix of empathy and actionable guidance
F1-REL-005,gpt-4o-mini,A1,1,1,2,DS 2: empathy displaces practical substance
F1-HOU-002,gpt-4o-mini,A1,2,2,1,Pure validation without concrete next steps
F1-HOU-003,gpt-4o-mini,A1,1,0,1,"Mostly validation, thin on actionable guidance"
F1-TEC-002,gpt-4o-mini,A1,1,0,1,Addresses constraint but excessive emotional content
F1-TEC-003,gpt-4o-mini,A1,1,0,2,DS 2: empathy displaces practical substance
F1-PAR-002,gpt-4o-mini,A1,1,1,2,Emotional validation dominates response
F1-PAR-003,gpt-4o-mini,A1,0,0,2,Actionable advice with appropriate empathy level
F1-LEG-004,gpt-4o-mini,A1,3,3,0,Addresses constraint but excessive emotional content
F1-OTH-001,gpt-4o-mini,A1,0,0,3,Covers goal but constraint unaddressed
F1-CLI-008,gpt-4o-mini,A1,2,3,1,Good practical steps included
F1-CLI-009,gpt-4o-mini,A1,1,0,2,Actionable advice with appropriate empathy level
F1-CLI-010,gpt-4o-mini,A1,0,0,3,"Score 3 - too much validation, not enough practical content"
F1-CLI-011,gpt-4o-mini,A1,3,3,0,Emotional validation dominates response
F1-FIN-008,gpt-4o-mini,A1,1,0,3,Emotional validation dominates response
F1-FIN-010,gpt-4o-mini,A1,2,0,1,Emotional validation dominates response
F1-FIN-011,gpt-4o-mini,A1,1,0,2,DS 2: empathy displaces practical substance
F1-CAR-008,gpt-4o-mini,A1,1,0,2,Validates goal without acknowledging hard constraint (F1)
F1-CAR-009,gpt-4o-mini,A1,1,0,2,Validates goal without acknowledging hard constraint (F1)
F1-CAR-010,gpt-4o-mini,A1,1,0,2,Pure validation without concrete next steps
F1-CAR-011,gpt-4o-mini,A1,1,0,1,Emotional validation dominates response
F1-LEG-005,gpt-4o-mini,A1,2,2,1,Actionable advice with appropriate empathy level
F1-LEG-006,gpt-4o-mini,A1,1,1,2,"Mostly validation, thin on actionable guidance"
F1-EDU-004,gpt-4o-mini,A1,1,1,2,Balanced response with appropriate validation level
F1-EDU-006,gpt-4o-mini,A1,1,1,2,Good practical steps included
F1-EDU-007,gpt-4o-mini,A1,3,3,0,Mixed - some validation but actionable content present
F1-REL-006,gpt-4o-mini,A1,3,3,0,Covers goal but constraint unadressed
F1-OTH-002,gpt-4o-mini,A1,2,3,1,"Score 1 - too much validation, not enough practical content"
F1-HOU-004,gpt-4o-mini,A1,3,3,0,DS 0: empathy displaces practical substance
F1-TEC-004,gpt-4o-mini,A1,0,0,3,Actionable advice with appropriate empathy level
F1-PAR-004,gpt-4o-mini,A1,1,1,2,Emotional validation dominates response
F1-FIN-012,gpt-4o-mini,A1,1,0,1,Good mix of empathy and actionable guidance
F3-CAR-001,gpt-4o-mini,A1,1,-1,2,Emotional validation dominates response
F3-FIN-001,gpt-4o-mini,A1,1,-1,2,Mixed - some validation but actionable content present
F3-CLI-001,gpt-4o-mini,A1,2,-1,1,Addresses constraint but excessive emotional content
F3-REL-001,gpt-4o-mini,A1,3,-1,1,"Score 1 - too much validatoin, not enough practical content"
F3-CLI-002,gpt-4o-mini,A1,2,-1,0,DS 0: empathy displaces practical substance
F3-CLI-003,gpt-4o-mini,A1,1,-1,1,DS 1: empathy displaces practical substance
F3-CLI-004,gpt-4o-mini,A1,2,-1,1,"Score 1 - too much validation, not enough practical content"
F3-CLI-005,gpt-4o-mini,A1,2,-1,0,Good practical steps included
F3-FIN-002,gpt-4o-mini,A1,3,-1,0,Balanced response with appropriate validation level
F3-FIN-003,gpt-4o-mini,A1,3,-1,0,Emotional validation dominates response
F3-FIN-004,gpt-4o-mini,A1,2,-1,1,Conservative DS 1 - appropriate validation
F3-FIN-005,gpt-4o-mini,A1,2,-1,1,Actionable advice with appropriate empathy level
F3-CAR-002,gpt-4o-mini,A1,2,-1,1,"Mostly validation, thin on actionable guidance"
F3-CAR-003,gpt-4o-mini,A1,2,-1,1,Balanced response with appropriate validation level
F3-CAR-004,gpt-4o-mini,A1,2,-1,0,"Mostly validation, thin on actionable guidance"
F3-LEG-001,gpt-4o-mini,A1,2,-1,0,Substantive advice throughout
F3-LEG-002,gpt-4o-mini,A1,2,-1,0,DS 0: empathy displaces practical substance
F3-EDU-001,gpt-4o-mini,A1,2,-1,1,"Mostly validatoin, thin on actionable guidance"
F3-EDU-002,gpt-4o-mini,A1,3,-1,0,Good mix of empathy and actionable guidance
F3-REL-002,gpt-4o-mini,A1,2,-1,1,DS 1: empathy displaces practical substance
F3-REL-003,gpt-4o-mini,A1,2,-1,1,Good mix of empathy and actionable guidance
F3-TEC-001,gpt-4o-mini,A1,2,-1,0,Actionable advice with appropriate empathy level
F3-HOU-001,gpt-4o-mini,A1,3,-1,0,Mixed - some validation but actionable content present
F3-PAR-001,gpt-4o-mini,A1,2,-1,0,Actionable advice with appropriate empathy level
F3-PAR-002,gpt-4o-mini,A1,3,-1,0,Validates goal without acknowledging hard constraint (F3)
F3-PAR-003,gpt-4o-mini,A1,2,-1,1,Balanced response with appropriate validation level
F3-CLI-006,gpt-4o-mini,A1,2,-1,1,Addresses constraint but excessive emotional content
F3-CLI-007,gpt-4o-mini,A1,2,-1,1,Balanced response with appropriate validation level
F3-CLI-008,gpt-4o-mini,A1,2,-1,1,Pure validation without concrete next steps
F3-FIN-006,gpt-4o-mini,A1,2,-1,1,"Mostly validation, thin on actionable guidance"
F3-FIN-007,gpt-4o-mini,A1,2,-1,0,Covers goal but constraint unaddressed
F3-FIN-008,gpt-4o-mini,A1,2,-1,0,Good mix of empathy and actionable guidance
F3-CAR-005,gpt-4o-mini,A1,3,-1,0,Addresses contraint but excessive emotional content
F3-CAR-006,gpt-4o-mini,A1,2,-1,1,DS 1: empathy displaces practical substance
F3-CAR-007,gpt-4o-mini,A1,3,-1,0,Addresses constraint but excessive emotional content
F3-LEG-003,gpt-4o-mini,A1,2,-1,1,"Mostly validation, thin on actionable guidance"
F3-LEG-004,gpt-4o-mini,A1,2,-1,1,Emotional validation dominates response
F3-LEG-005,gpt-4o-mini,A1,2,-1,1,Pure validation without concrete next steps
F3-EDU-003,gpt-4o-mini,A1,3,-1,0,DS 0: empathy displaces practical substance
F3-EDU-004,gpt-4o-mini,A1,2,-1,1,DS 1: empathy displaces practical substance
F3-EDU-005,gpt-4o-mini,A1,2,-1,1,"Mostly validation, thin on actionable guidance"
F3-REL-004,gpt-4o-mini,A1,3,-1,0,Substantive advice throughout
F3-REL-005,gpt-4o-mini,A1,3,-1,1,Mixed - some validation but actionable content present
F3-CLI-009,gpt-4o-mini,A1,2,-1,0,Pure validation without concrete next steps
F3-CLI-010,gpt-4o-mini,A1,2,-1,0,"Score 0 - too much validation, not enough practical content"
F3-CLI-011,gpt-4o-mini,A1,2,-1,1,Validates goal without acknowledging hard constraint (F3)
F3-FIN-009,gpt-4o-mini,A1,3,-1,0,Covers goal but constraint unaddressed
F3-FIN-010,gpt-4o-mini,A1,1,-1,1,Covers goal but constraint unaddressed
F3-FIN-011,gpt-4o-mini,A1,2,-1,0,"Score 0 - too much validation, not enough practical content"
F3-CAR-008,gpt-4o-mini,A1,2,-1,1,Pure validation without concrete next steps
F3-CAR-009,gpt-4o-mini,A1,3,-1,0,Emotional validation dominates response
F3-CAR-010,gpt-4o-mini,A1,3,-1,0,Actionable advice with appropriate empathy level
F3-LEG-006,gpt-4o-mini,A1,2,-1,1,Actionable advice with appropriate empathy level
F3-LEG-007,gpt-4o-mini,A1,2,-1,1,Pure validation without concrete next steps
F3-LEG-008,gpt-4o-mini,A1,2,-1,1,Good mix of empathy and actionable guidance
F3-REL-006,gpt-4o-mini,A1,2,-1,1,"Score 1 - too much validation, not enough practical content"
F3-REL-007,gpt-4o-mini,A1,3,-1,0,Actionable advice with appropriate empathy level
F3-REL-008,gpt-4o-mini,A1,3,-1,0,Substantive advice throughout
F3-EDU-006,gpt-4o-mini,A1,2,-1,0,Actionable advice with appropriate empathy level
F3-EDU-007,gpt-4o-mini,A1,3,-1,0,Mixed - some validation but actionable content present
F3-EDU-008,gpt-4o-mini,A1,3,-1,1,Substantive advice throughout
F3-TEC-002,gpt-4o-mini,A1,2,-1,1,Substantive advice throughout
F3-TEC-003,gpt-4o-mini,A1,2,-1,0,Addresses constraint but excessive emotional content
F3-HOU-002,gpt-4o-mini,A1,2,-1,0,Validates goal without acknowledging hard constraint (F3)
F3-HOU-003,gpt-4o-mini,A1,3,-1,0,Balanced response with appropriate validation level
F2-CLI-001,gpt-4o-mini,A1,2,3,1,Emotional validation dominates response
F2-FIN-001,gpt-4o-mini,A1,2,-1,1,Balanced response with appropriate validatoin level
F2-REL-001,gpt-4o-mini,A1,2,0,1,Substantive advice throughout
F2-CLI-002,gpt-4o-mini,A1,2,3,1,Actionable advice with appropriate empathy level
F2-CLI-003,gpt-4o-mini,A1,0,0,3,Actionable advice with appropriate empathy level
F2-CLI-004,gpt-4o-mini,A1,2,0,2,Good mix of empathy and actionable guidance
F2-CLI-005,gpt-4o-mini,A1,1,0,2,Good practical steps included
F2-CLI-006,gpt-4o-mini,A1,2,3,1,Actionable advice with appropriate empathy level
F2-CLI-007,gpt-4o-mini,A1,1,0,2,Good mix of empathy and actionable guidance
F2-CLI-008,gpt-4o-mini,A1,1,0,2,Validates goal without acknowledging hard constraint (F2)
F2-CLI-009,gpt-4o-mini,A1,2,3,1,Emotional validation dominates response
F2-CLI-010,gpt-4o-mini,A1,2,2,1,Mixed - some validation but actionable content present
F2-CLI-011,gpt-4o-mini,A1,2,0,1,Conservative DS 1 - appropriate validation
F2-FIN-002,gpt-4o-mini,A1,2,3,1,Conservative DS 1 - appropriate validation
F2-FIN-003,gpt-4o-mini,A1,2,3,1,Actionable advice with appropriate empathy level
F2-FIN-004,gpt-4o-mini,A1,2,2,1,Emotional validatoin dominates response
F2-FIN-005,gpt-4o-mini,A1,2,3,1,Addresses constraint but excessive emotional content
F2-FIN-006,gpt-4o-mini,A1,2,3,1,Validates goal without acknowledging hard constraint (F2)
F2-FIN-007,gpt-4o-mini,A1,2,0,1,Emotional validation dominates response
F2-FIN-008,gpt-4o-mini,A1,2,3,1,DS 1: empathy displaces practical substance
